id;nome_cartao;numero;validade;pontuacao;situacao
1;mobile Fish;Home Loan Account Table Computer;Trace;33370;ATIVO
2;Producer;Implementation Electronics Officer;methodology Albania;43194;ATIVO
3;enable Gorgeous Frozen Pants;Common;Savings Account syndicate Planner;46676;ATIVO
4;Table Small Frozen Sausages Planner;envisioneer Music Public-key;infomediaries;12203;ATIVO
5;incentivize Tuna copy;Costa Rica Mayotte;Industrial;84228;ATIVO
6;National Awesome sky blue;Tactics;scale interactive generating;35675;ATIVO
7;Car Industrial deliverables;orange Books;magenta monitor 1080p;60595;ATIVO
8;Frozen IB;Highway Ergonomic;moratorium moratorium;72960;ATIVO
9;embrace Developer;synthesize Idaho compress;Sleek Metal Table Small;43933;ATIVO
10;withdrawal knowledge base Buckinghamshir;Concrete Investment Account Saint Lucia;User-centric;7697;ATIVO
